"pastweek_1","pastweek_2","pastweek_3","stock_freq_1","stock_hs_1","stock_hs_2","stock_hs_3","stock_hs_4","meal_freq._1","meal_hs_1","meal_hs_2","meal_hs_3","meal_hs_4","snack_freq_1","snack_hs_1","snack_hs_2","snack_hs_3","snack_hs_4","share_freq_1","share_hs_1","share_hs_2","share_hs_3","share_hs_4","tape_use","tape_frequency","tape_help","tape_opinion","tape_comments","comments","condition","id","hh_size","time","hs_stock","hs_meal","hs_snack","hs_share"
"4","3","6",100,7,7,7,7,100,6,6,6,7,58,5,6,5,6,100,7,6,7,5,"","","","","","","control",11,24,3,7,6.25,5.5,6.25
"5","5","0",0,1,1,1,1,0,7,7,7,7,50,7,7,7,7,0,1,1,1,1,"Ik ben er niet aan toe gekomen om het te gebruiken. Past niet in mijn routine. Ik besteed niet zoveel aandacht aan houdbaarheid van eten. ","Niet","N.v.t.","Ik denk dat het misschien meer iets is voor restaurants en dergelijken dan huishoudens. ","","","intervention",44,2,3,1,7,7,1
"7","5","3",76,5,5,5,5,89,6,5,5,5,77,5,4,4,5,69,3,3,3,3,"","","","","","","control",31,5,3,5,5.25,4.5,3
"1","1","1",16,6,6,6,6,10,6,6,6,6,78,6,6,6,6,37,3,3,3,3,"","","","","",".","control",8,6,3,6,6,6,3
"0","0","4",6,5,5,5,5,100,6,5,5,6,71,4,5,5,4,74,6,6,6,6,"","","","","","Ik was de week weg in het buitenland. Maar daar heb ik dan sommige dingen op betrokken in de vragen nu ","control",16,3,3,5,5.5,4.5,6
"3","3","3",86,6,6,6,6,89,6,6,6,6,71,6,6,6,6,0,4,4,4,4,"Niet gebruikt, op m'n kamer gelegd en vergeten van het bestaan","0x gebruikt","Tape niet gebruikt","Kan wel handig zijn, als ik hem had gebruikt","","","intervention",32,3,3,6,6,6,4
"4","3","3",72,6,6,6,6,80,6,6,6,6,32,5,4,5,5,89,6,6,6,5,"Ik heb de tape niet gebruikt","Ik heb de tape niet gebruikt","Niet echt helaas","","","","intervention",34,3,3,6,6,4.75,5.75
"4","4","4",58,5,6,6,4,81,5,4,6,5,71,6,5,4,3,11,2,2,2,2,"","","","","","","control",30,8,3,5.25,5,4.5,2
"7","7","6",83,5,4,3,5,97,6,6,7,5,81,7,7,6,6,0,1,1,1,1,"Ik gebruikte de tape als ik van hetzelfde product meerdere items had met verschillende data. Hierdoor pakte ik altijd de juiste ","Ik ben hem steeds meer gaan gebruiken, en doe vaak elke week 1 check ronde","Ja het zorgde voor minder verspilling","Ja het werkt wel makkelijk, en het helpt met het verminderen doordat ik ‘fifo’ eet","","","intervention",19,4,3,4.25,6,6.5,1
"7","6","6",100,6,6,6,6,86,6,6,6,6,100,6,6,6,6,85,6,6,6,6,"0x, want ik heb ook weer niet zoveel spullen die snel over de datum gaan ","0,","Nee","Vond het wel handig, maar had te weinig spullen om het echt te gebruiken","","","intervention",23,5,3,6,6,6,6
"3","3","1",64,4,4,4,4,100,6,6,6,6,73,5,5,5,5,83,4,4,4,4,"Ik heb het tape op een schap van de koelkast geplakt. Zo hoef je niet steeds de producten te tapen en kan je de producten die op datum zijn erin zetten.","1x opgeplakt in de koelkast ","De tape heeft geholpen omdat er zo minder producten verstopt raken in de koelkast en minder snel over de datum gaan. ","Het is makkelijk omdat het goed plakt en opvalt ","","","intervention",41,6,3,4,6,5,4
"7","4","3",60,3,3,5,3,73,5,3,5,6,31,3,3,2,2,36,3,2,3,5,"Aan het einde van de week heb ik de tape geplakt op producten die beperkt houdbaar waren. Dit is meestal ook de dag dat ik boodschappen doe, dus dan ben ik sowieso al bewust bezig met welke producten ik nog heb.","1 keer per week","Deels, ik doe vaak boodschappen waarbij ik plan om wat wanneer te eten, dus gooi meestal niet veel weg. Dit heeft me wel bewuster gemaakt met producten die ik minder vaak gebruik. Huisgenoten zijn deze tape niet gaan gebruiken. Met de producten die tape hadden probeerde ik als eerst een maaltijd mee te maken","Ik vond het nuttig, omdat het meer overzicht creeert, het kost alleen even wat tijd, maar als je de houdbaarheid toch aan het checken bent, is een tapeje erop plakken niet veel extra moeite","","","intervention",1,4,3,3.5,4.75,2.5,3.25
"4","4","4",89,6,7,6,6,97,5,5,6,4,62,2,2,2,2,85,3,3,3,3,"","","","","","","control",3,2,3,6.25,5,2,3
"6","5","4",89,7,7,7,7,100,7,7,7,7,60,5,5,5,5,57,5,5,5,4,"Ik heb de tape niet gebruikt omdat ik al vanzelf naar de houdbaarheid van producten kijk en deze eerst gebruik.","Heb hem nog niet gebruikt.","--","Voor mezelf vind ik hem niet nuttig, maar voor anderen die vergeten welk eten beperkt houdbaar is is hij misschien handig.","","Ik vond het soms een beetje moeilijk de vragen over gewoonten te beantwoorden, omdat ik niet echt het verschil tussen de vier vragen heb verstaan.","intervention",43,8,3,7,7,5,4.75
"5","4","4",88,6,5,6,6,80,6,5,5,6,24,5,4,4,5,0,3,3,3,3,"","","","","","","control",10,5,3,5.75,5.5,4.5,3
"7","7","7",91,7,7,7,7,83,7,7,7,7,97,7,7,7,7,82,6,6,6,6,"","","","","","","control",49,13,3,7,7,7,6
"6","2","1",84,6,6,6,5,100,6,6,6,6,88,6,6,6,6,63,5,5,6,5,"Ik heb de tape gebruikt in het begin wanneer ik dingen wegzet in de koelkast. Ik merkte alleen dat ik het niet in mijn routine kreeg, dus heb ik de tape niet vaker gebruikt.","Ik heb de tape in het begin 2 keer in de week gebruikt. Daarna ben ik hem minder gaan gebruiken.","Het heeft me niet per se geholpen, aangezien ik me al heel bewust was van welke producten in mijn koelkast eerst op moeten. Daarnaast zijn mijn huisgenoten niet betrokken. De producten waar ik de tape op had geplakt heb ik op een creatieve manier verwerkt in mijn eten.","Ik denk dat voor de meeste mensen de tape goed kan werken als je moeilijk overzicht kan krijgen van wat je in je koelkast hebt. De tape is daarnaast ook makkelijk te gebruiken.","","","intervention",22,3,3,5.75,6,6,5.25
"7","6","1",100,7,7,6,7,100,6,6,6,7,62,6,6,6,6,100,5,4,5,6,"","","","","","","control",36,15,3,6.75,6.25,6,5
"7","7","0",100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,0,1,1,1,1,"","","","","","n.v.t.","control",12,5,3,7,7,7,1
"5","5","4",88,5,4,5,6,83,5,4,6,6,100,4,7,6,4,100,7,6,7,6,"De tape is weinig gebruikt omdat hij snel kwijt was geraakt ","6 keer","Eerder producten met tape Etten ","Makkelijk te gebruiken maar wel snel vergeten ","","","intervention",5,10,3,5,5.25,5.25,6.5
"3","2","2",86,7,7,6,5,99,7,7,3,3,88,7,7,5,4,16,2,2,2,2,"Uiteindelijk heb ik de tape niet gebruikt omdat ik van huis uit al opgevoed ben met het automatisme om de voedselproducten die als eerst op moeten, als eerst te eten. Dit gaat zowel om voedselproducten met een naderende houdbaarheidsdatum ofwel om producten die open zijn en daarmee beperkt houdbaar.","Ik vond het niet duurzaam om iets te gebruiken dat voor mij toch al enigszins overbodig is dus ben ik van plan om het door te geven aan iemand die er mogelijk meer profijt van kan hebben.","Eigenlijk heb ik niets aan de tape gehad.","Ik kan mij goed voorstellen dat voor mensen die minder goed paraat hebben welke producten bijna voorbij hun uiterste houdbaarheid zijn, deze tape erg nuttig is! Dan lijkt het me ook wel makkelijk te gebruiken","","","intervention",27,3,3,6.25,5,5.75,2
"3","3","3",72,5,4,5,5,84,6,6,6,6,83,6,6,5,6,76,6,5,5,4,"","","","","","","control",35,25,3,4.75,6,5.75,5
"5","4","4",82,6,6,6,6,80,6,6,6,6,85,6,6,6,6,87,7,6,6,6,"","","","","","","control",33,3,3,6,6,6,6.25
"0","0","0",100,6,6,6,6,100,6,6,6,6,100,6,6,6,6,100,6,6,6,6,"Ik gebruik het nu niet meer maar ik heb het 1 keer gebruikt in de week dat je het gaf. Omdat ik al best automatisch check tot wanneer het goed is vergeet ik de tape erop te plakken maar heb ik het al in mijn hoofd","1 keer, ik heb niet heel veel dingen in mijn koelkast staan en ik kijk altijd even of ik het die avond moet eten of dat het langer er mag blijven staan. Met andere producten zoals fruit en groente is het wat onhandiger om er tape op te plakken en die gaan vaak sneller rotten dus soms moet ik dat weleens weggooien. Voor de rest is het wel een goed idee, maar ik vergeet het vaak om de tape erop te plakken.","Het heeft mij toen ik het gebruikte wel geholpen omdat het opvalt. Je pakt het sneller. Voor de rest waren er geen huisgenoten bij betrokken.","Het is wel nuttig en het is makkelijk om te gebruiken alleen voor groente of fruit is het wat lastiger. Ik vergat het alleen vaak dus dat was een beetje jammer.","Nee","Leuk onderzoek!","intervention",48,26,3,6,6,6,6
"4","3","2",99,7,6,6,6,98,6,6,7,6,100,7,6,6,5,100,6,6,6,7,"Tape geplakt op koelkast plank en alles wat kort houdbaar is daarin gelegd","Ik laat de tape er op zitten en leg elke week de spullen die bijna over datum zijn erin dus veel gebruikt","Tape helpt goed herinneren en niks vergeten","Goeie","","","intervention",2,5,3,6.25,6.25,6,6.25
"6","4","4",100,6,6,6,6,77,6,5,6,5,66,4,4,4,5,83,4,5,6,4,"ik heb de tape niet gebruikt, omdat ik vaak maar weinig producten in mijn koelkast of kast heb staan. Daardoor raakt eten niet vaak achter in de koelkast verstopt. ","Ik heb de tape 1 keer gebruikt aan het begin, maar ik merkte dus dat het voor mij weinig hielp en dat het moeilijk in mijn routine paste.","ik heb de tape maar 1 keer gebruik, toen plakte ik het op producten die echt binnen een dag of 2 niet meer te eten waren. Het ging vooral om restjes","voor mensen met een grote koelkast met veel spullen kan de tape zeker helpen om overzicht te bewaren denk ik.","","","intervention",38,2,3,6,5.5,4.25,4.75
"7","5","4",69,6,3,3,5,79,7,3,6,5,91,7,6,6,5,94,7,6,6,7,"Gebruikte de tape voornamelijk nadat ik boodschappen had gedaan, met het vullen van de koelkast. Ging goed in de routine, wel laatste paar dagen minder gedaan, had vaker haast voor een volgende lecture of dergelijke.","Heb de tape denk ik zo'n 10 keer gebruikt, na het boodschappen doen. Afgelopen week wel maar 1 a 2 keer uit mn hoofd","Denk dat de tape goed was als geheugensteuntje om te controleren, maar ik koop vaak met het doel om diezelfde dag eten nog ermee te koken dus heeft wellicht niet zoveem toegevoegd als t zou kunnen als ik weekboodschappen zou doen.
Huisgenoten waren niet echt betrokken met de tape, een enkele keer nog vraag gehad of ik een bepaald product nog zelf ging gebruiken of niet.","Denk dat het goed is voor bewustwording, maar zolang je dagelijks boodschappen doet en geen grote weekboodschappen voegt het niet super veel toe. Tale is goed te gebruiken.","","","intervention",25,3,3,4.25,5.25,6,6.5
"0","0","0",95,7,7,7,7,6,7,7,7,7,96,7,7,7,7,0,1,1,1,1,"Ik heb de tape niet vaak gebruikt. Het past niet zo goed in mijn routine aangezien ik erg onregelmatig boodschappen haal en kook voor mijzelf. Ik heb weinig routine, dus denk ik er niet aan om de tape te gebruiken omdat ik het vergeet.","Ik heb aan het begin de tape wel gebruikt, maar sinds ik verhuisd ben (halverwege het onderzoekstraject) heb ik het niet meer gebruikt","Producten waar ik tape op plakte vielen meer op dan producten waar geen tape op zat. Maar uit mezelf let ik al erg veel op de houdbaarheid van voedsel. Daarom heeft de tape me niet perse geholpen met minder eten weggooien. Huisgenoten waren niet betrokken bij het gebruiken van de tape. ","Tape is makkelijk te gebruiken. Het is daarentegen wel echt van belang daarin routine te krijgen en voor mij en ik denk voor de meeste studenten is dat misschien erg lastig aangezien niets aan ons leven echt routine is. Ik denk daarentegen voor stabiele huishoudens zoals gezinnen dat dit tape nog best wel goed kan werken.","","","intervention",37,6,3,7,7,7,1
"5","1","1",86,6,6,6,6,100,6,6,6,6,76,5,5,4,5,100,5,5,5,4,"","","","","","","control",21,3,3,6,6,4.75,4.75
"4","4","3",32,6,4,4,4,70,6,2,4,4,47,4,4,4,4,68,5,5,5,5,"Ik heb het niet gebruikt, want ik er geen voordeel van in. Ik heb vaak ook maar weinig spullen waardoor ik wel overzicht kan houden.","niet","niet gebruikt","zinloos","","","intervention",50,19,3,4.5,4,4,5
"2","2","2",75,6,6,6,6,76,6,6,6,6,77,6,6,6,6,80,6,6,6,6,"Ik heb een plankje met tape beplakt, en het helpt wel met duidelijk de beperkt houdbare producten daar te plaatsen","het zit er nog steeds, alleen als je een kleine koelkast hebt kan het soms wegvallen","ik heb er wel iets aan gehad, maar zoals eerder gezegd niet heel handig voor een kleine koelkast aangezien die vaak vol staat","het is nuttig","","","intervention",40,2,3,6,6,6,6
"4","3","2",36,4,4,4,3,63,4,4,5,4,61,5,4,5,5,25,2,2,2,3,"","","","","","","control",24,8,3,3.75,4.25,4.75,2.25
"5","4","4",82,6,7,6,6,91,7,6,7,7,93,6,7,5,5,7,1,2,3,1,"","","","","","Succes met je verdere onderzoek! Ik vond het leuk om mee te doen en het heeft me zelf ook inzicht gegeven in mijn eetgewoontes en hoe ik beter om kan gaan met voedsel wat bijna over de datum is.","control",42,3,3,6.25,6.75,5.75,1.75
"5","5","3",66,3,3,3,3,88,6,5,4,3,72,5,3,6,4,84,3,6,4,5,"","","","","","","control",17,3,3,3,4.5,4.5,4.5
